Zone,plotID,Site,comp,comp_name,div.lev,TopH,ENL,meanFrac,SSCI,can.open,plot,Clim.zone,SR.log2,FSI_mean,FSI_se,FENL_mean,FENL_se,FMFrac_mean,FMFrac_se,ref_n,SSCI_sc,meanFrac_sc,ENL_sc,FSI_sc,FMFrac_sc,FENL_sc,FSI_comp
ASref,56,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,24,15.36601824,1.781082146,4.837907624,7.42,209,Humid,2.321928095,0.733026957,0.010121281,1.089384655,0.032649136,0.86299311,0.010003887,11,0.471485272,-0.133838674,0.713367465,0.524867215,-0.068616523,0.811182591,0.01032924
ASref,57,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,22,15.98489934,1.717152216,4.478073397,5.62,214,Humid,2.321928095,0.698039126,0.010366527,1.106948677,0.033341254,0.845343263,0.009785572,11,0.145390746,-0.403983822,0.862091641,0.228558891,-0.316825438,0.91713945,0.010218263
ASref,58,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,25,18.27753451,1.624148319,4.092694287,9.47,239,Humid,2.321928095,0.656805171,0.009501963,1.174449903,0.032421045,0.818015017,0.009934821,11,-0.203853458,-0.796985215,1.413037984,-0.120647208,-0.7011412,1.324347903,0.010389074
ASref,59,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,30,20.47319398,1.853765644,6.445976771,3.69,277,Humid,2.321928095,0.87005744,0.010321526,1.229431198,0.030270959,0.882108074,0.010254306,11,1.928774511,0.173295939,1.940679961,1.685364192,0.200196266,1.656028516,0.011993044
ASref,60,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,23,18.8514116,1.7107191,4.838934433,7.31,295,Humid,2.321928095,0.733750045,0.01079558,1.189780913,0.031621484,0.842928165,0.010215615,11,0.472415803,-0.431167883,1.550947184,0.530990969,-0.350788832,1.416833882,0.010942217
ASref,61,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,19,14.39989387,1.838880772,5.057344588,3.255,299,Humid,2.321928095,0.753356281,0.010065137,1.05561775,0.033880978,0.878887207,0.010082366,11,0.670346824,0.110397764,0.481196775,0.697034154,0.154901365,0.607480082,0.01024877
ASref,62,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,24,15.12804159,1.648088256,3.885422931,5.96,317,Humid,2.321928095,0.634309497,0.009361316,1.082781992,0.032458098,0.825256161,0.00970468,11,-0.391690105,-0.695823555,0.656178965,-0.311160742,-0.599309354,0.771351312,0.009688282
ASref,63,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,27,19.64648077,1.836445401,6.11082266,2.14,331,Humid,2.321928095,0.844732599,0.010765162,1.20835442,0.032285814,0.878337989,0.010273919,11,1.625045981,0.100106752,1.742011361,1.470890737,0.147177752,1.528880572,0.011722152
ASref,64,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,24,14.05657129,1.723436056,4.215156663,5.42,332,Humid,2.321928095,0.670083098,0.009228172,1.045490779,0.032255577,0.846861399,0.010325505,11,-0.092873714,-0.377430549,0.398692449,-0.008197814,-0.295475961,0.546388032,0.009673426
ASref,65,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,26,16.07160993,1.844412481,5.473968105,6.79,342,Humid,2.321928095,0.791263492,0.010022764,1.111484807,0.032309165,0.880142984,0.010163377,11,1.047905818,0.133772798,0.882929184,1.018066398,0.172561296,0.944504147,0.01081117
ASref,66,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,22,17.42298293,1.812539701,5.471816993,2.53,358,Humid,2.321928095,0.790780195,0.01052644,1.149174387,0.031982634,0.871803699,0.010272469,11,1.045956404,-0.000910235,1.207679507,1.013973406,0.055286351,1.171870617,0.011040623
ASref,67,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,21,12.26918577,1.841640693,4.622669,1.59,397,Humid,2.321928095,0.712574928,0.009966195,0.977282795,0.032080427,0.879413261,0.010183298,11,0.276428405,0.122060208,-0.030836648,0.351661099,0.162299246,0.134915987,0.009495598
ASref,68,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,22,12.23077518,2.08597499,6.302831773,1.07,409,Humid,2.321928095,0.8599266,0.010995155,0.974741798,0.03281754,0.941641874,0.010566219,11,1.799051442,1.154530052,-0.04006715,1.599567161,1.037417124,0.119587147,0.01034895
ASref,69,AguaSalud,6,DaRe|PaQu|TeAm|AnEx|TaRo,5,23,13.46683886,1.909665846,5.377171522,2.31,421,Humid,2.321928095,0.782706156,0.010351679,1.023840939,0.033292358,0.897589597,0.009927797,11,0.960185324,0.409510312,0.25697303,0.945595212,0.417912152,0.415783027,0.010215416
ASref,70,AguaSalud,7,DaRe|AnEx,2,23.5,10.81851802,1.87084772,4.452525288,30.475,174,Humid,1,0.694753727,0.010094142,0.913207908,0.030991612,0.887594571,0.010501752,11,0.122238145,0.245478717,-0.37944863,0.200735191,0.277352602,-0.251622701,0.008980217
ASref,71,AguaSalud,7,DaRe|AnEx,2,27.5,13.18675949,1.796838313,4.565074106,2.43,184,Humid,1,0.7065893,0.010089045,1.011628858,0.032176801,0.867344194,0.009954699,11,0.224233871,-0.067258716,0.189666767,0.300969432,-0.007427439,0.342112327,0.009654742
ASref,72,AguaSalud,7,DaRe|AnEx,2,39,7.780001508,1.835101301,3.474669353,42.01,220,Humid,1,0.587512392,0.009207586,0.75411137,0.0314513,0.877895722,0.010303399,11,-0.763929552,0.094427063,-1.109638754,-0.707480585,0.140958167,-1.211389785,0.007310799
ASref,73,AguaSalud,7,DaRe|AnEx,2,21,10.22526614,1.852821961,4.194462297,26.27,229,Humid,1,0.668000944,0.00977948,0.886247969,0.032111054,0.882181774,0.010160124,11,-0.111627682,0.16930827,-0.522013813,-0.025831362,0.201232705,-0.414261454,0.008646244
ASref,74,AguaSalud,7,DaRe|AnEx,2,32,12.16312124,1.769439397,4.160972134,5.87,262,Humid,1,0.664501897,0.009786294,0.971471919,0.033249247,0.860127976,0.009853502,11,-0.141977654,-0.183036791,-0.056325162,-0.055464431,-0.10890876,0.099861248,0.009171587
ASref,75,AguaSalud,7,DaRe|AnEx,2,18,8.63869331,1.917130395,4.068815559,29.48,296,Humid,1,0.654666538,0.009572276,0.803044394,0.031657716,0.899130288,0.010000252,11,-0.225493208,0.441052842,-0.903285334,-0.138759065,0.439578813,-0.916196023,0.008030249
ASref,76,AguaSalud,7,DaRe|AnEx,2,10,6.715131287,2.051171268,3.927941758,33.39,313,Humid,1,0.639536894,0.009277674,0.68580278,0.029700482,0.932586712,0.010192601,11,-0.353158038,1.0074619,-1.365539196,-0.26689046,0.910074823,-1.623468748,0.007190581
ASref,77,AguaSalud,7,DaRe|AnEx,2,24.5,11.60491117,2.163511562,6.507182943,2.37,346,Humid,1,0.875619203,0.010785786,0.948789966,0.032165487,0.959572632,0.010624018,11,1.984241713,1.48217203,-0.1904694,1.73246619,1.289576473,-0.036970089,0.010322859
ASref,78,AguaSalud,7,DaRe|AnEx,2,26,10.64179961,2.122426209,5.927756227,17.02,379,Humid,1,0.829941281,0.010562126,0.905155658,0.031750632,0.949816942,0.010060177,11,1.459144693,1.30855994,-0.421916077,1.345624594,1.152382688,-0.300198773,0.009718477
ASref,79,AguaSalud,7,DaRe|AnEx,2,20,6.624504271,1.879484919,3.297204973,62.06,388,Humid,1,0.565282101,0.009027106,0.679606438,0.028542984,0.889352828,0.010192072,11,-0.924754061,0.281976448,-1.3873179,-0.895746619,0.302078873,-1.660848854,0.006700222
ASref,80,AguaSalud,7,DaRe|AnEx,2,20,10.35206956,1.350697849,2.085390202,99.11,413,Humid,1,0.399453105,0.006994592,0.892892175,0.031884367,0.731386157,0.009711235,11,-2.022943544,-1.952489651,-0.491541507,-2.300135226,-1.919398515,-0.37417956,0.00683124
ASref,81,AguaSalud,7,DaRe|AnEx,2,23,8.882792221,2.315468269,6.257682032,0.6,423,Humid,1,0.856316145,0.011227021,0.816697251,0.033269279,0.993365501,0.010351145,11,1.758135147,2.124287031,-0.844625586,1.568990593,1.764803895,-0.833833686,0.00929358
ASref,82,AguaSalud,7,DaRe|AnEx,2,20,9.060114807,2.004064419,4.627832683,0.67,427,Humid,1,0.712879302,0.009907958,0.826612334,0.031698489,0.921259221,0.010305783,11,0.281107917,0.80840511,-0.802012949,0.354238807,0.750776889,-0.774019873,0.00853069
ASref,83,AguaSalud,8,PaQu|AnEx,2,18.5,9.039149495,1.978791917,4.437789577,7.945,177,Humid,1,0.693470508,0.009484887,0.82398907,0.032174066,0.914450342,0.010509887,11,0.108884121,0.701612504,-0.807051152,0.189867737,0.655023963,-0.789845,0.008422207
ASref,84,AguaSalud,8,PaQu|AnEx,2,17.5,7.124242907,1.917329615,3.580102079,70.47,192,Humid,1,0.599948125,0.009160693,0.714105586,0.029269813,0.899655724,0.010032209,11,-0.66838268,0.441894674,-1.267225014,-0.602163643,0.446967986,-1.452729008,0.007146294
ASref,85,AguaSalud,8,PaQu|AnEx,2,20.5,11.69125843,2.025000313,5.62963805,1.235,201,Humid,1,0.804818501,0.010134922,0.952372138,0.033228234,0.927051933,0.010474244,11,1.188979437,0.896872752,-0.16971917,1.132862372,0.832239507,-0.015360251,0.009908755
ASref,86,AguaSalud,8,PaQu|AnEx,2,32,9.450782907,2.083282676,5.199236439,20.83,250,Humid,1,0.767004077,0.010709958,0.848329095,0.032552919,0.940417993,0.010225273,11,0.798934247,1.14315329,-0.708130955,0.81261593,1.020205737,-0.643011161,0.008991633
ASref,87,AguaSalud,8,PaQu|AnEx,2,10,3.713632021,2.191252891,2.798930399,66.94,270,Humid,1,0.501542347,0.008165698,0.448303623,0.023462157,0.966165868,0.010090978,11,-1.376308135,1.59939702,-2.086833653,-1.435551999,1.382296819,-3.056208113,0.004921059
ASref,88,AguaSalud,8,PaQu|AnEx,2,28,11.62781915,2.142435278,6.484091282,10.37,281,Humid,1,0.873701189,0.010815592,0.951556461,0.033331393,0.954997455,0.010137556,11,1.963315232,1.393111149,-0.184964351,1.716222727,1.225235991,-0.02028091,0.010288993
ASref,89,AguaSalud,8,PaQu|AnEx,2,23,7.876160806,1.98704534,4.125278853,2.04,322,Humid,1,0.660836693,0.009551834,0.760791383,0.031044705,0.916948011,0.010211932,11,-0.17432417,0.736488534,-1.086530579,-0.086504667,0.690148559,-1.171091888,0.007803801
ASref,90,AguaSalud,8,PaQu|AnEx,2,24,13.49445868,1.796531964,4.593151364,55.31,329,Humid,1,0.708620387,0.009975648,1.021471622,0.032754377,0.867392802,0.010182459,11,0.249678477,-0.068553238,0.263610387,0.318170498,-0.006743864,0.40148987,0.009749387
ASref,91,AguaSalud,8,PaQu|AnEx,2,30,12.01869879,2.252217837,7.529271075,0.95,343,Humid,1,0.947775937,0.011375601,0.963624694,0.032935487,0.978980623,0.010096051,11,2.910494193,1.8570132,-0.091031522,2.343554105,1.562510076,0.052522017,0.010760064
ASref,92,AguaSalud,8,PaQu|AnEx,2,17,9.699211893,2.125845736,5.548387014,59.94,354,Humid,1,0.797700855,0.010383762,0.860284628,0.032526671,0.950747069,0.009886739,11,1.11534687,1.323009645,-0.64843064,1.072583767,1.165463024,-0.570888119,0.009248437
ASref,93,AguaSalud,8,PaQu|AnEx,2,25,15.29789513,0.355547386,0.059562955,100,396,Humid,1,0.014135209,0.00030387,1.086011036,0.032011623,0.263401984,0.004690715,11,-3.858819975,-6.15764159,0.696996705,-5.563352622,-8.500636561,0.79083087,0.002209947
